sample_id,timestamp,subject_id,session_id,camera_position,lighting_condition,exercise_type,active_arm,rom_elbow,upper_arm_angle_std,torso_sway_range,shoulder_angle_range,rep_duration,up_phase_duration,down_phase_duration,elbow_velocity_mean,elbow_velocity_std,motion_smoothness,elbow_drift_range,mean_visibility,label,error_type,notes
74,2026-06-11T04:05:21,S04,session_03,side,normal,triceps,left,120.90847693162203,8.265608939047898,4.3797005201101395,25.56143395721632,1.5539138317108154,0.7769569158554077,0.7769569158554077,196.43966531976199,169.51561503676604,4884.157594872524,22.663145699472487,0.9577295621857047,incorrect,elbow_swing,siku_maju_mundur
75,2026-06-11T04:05:26,S04,session_03,side,normal,triceps,left,120.8862346623039,6.980337133832489,4.467599170732149,20.26171531266043,1.4406929016113281,0.7203464508056641,0.7203464508056641,198.52393841546066,160.9683395941573,5890.5306148883565,19.99848582008577,0.9723585327466329,incorrect,elbow_swing,siku_maju_mundur
76,2026-06-11T04:05:33,S04,session_03,side,normal,triceps,left,111.21283166859487,5.21829808843642,4.196012690696468,14.350777683380764,1.4852595329284668,0.7426297664642334,0.7426297664642334,184.80409046150888,135.4425957687417,4395.682202656733,14.913219540273943,0.9717464814583461,incorrect,elbow_swing,siku_maju_mundur
77,2026-06-11T04:05:48,S04,session_03,side,normal,triceps,left,140.77103305630638,7.560872067704145,4.762254103312255,25.592469519300806,1.4397902488708496,0.36223840713500977,1.0775518417358398,425.6259818512748,806.4966633408817,26217.175688077255,22.92889264920951,0.9749802374177509,incorrect,elbow_swing,siku_maju_mundur
78,2026-06-11T04:06:30,S04,session_05,side,normal,triceps,right,120.68606180964909,2.917177390158594,2.2224974743448893,13.08919899802087,0.9507591724395752,0.4753795862197876,0.4753795862197876,361.6959177928382,242.48141552105537,5801.247540961449,11.631386237192942,0.9581695375964046,incorrect,too_fast,tempo_terlalu_cepat
79,2026-06-11T04:06:43,S04,session_05,side,normal,triceps,right,125.56726401958211,2.704393425484636,2.809661822702974,10.978238470383308,0.6463170051574707,0.32315850257873535,0.32315850257873535,623.1706874690199,393.2154174253813,14101.628828642004,11.580157045128098,0.9591270003999982,incorrect,too_fast,tempo_terlalu_cepat
80,2026-06-11T04:06:50,S04,session_05,side,normal,triceps,right,106.61705076097252,2.3708604999717706,1.6578182570837792,4.900812758446499,0.9357202053070068,0.4678601026535034,0.4678601026535034,394.3640065620442,303.2853427497797,13517.966255736002,7.908152771548917,0.9441987872123718,incorrect,too_fast,tempo_terlalu_cepat
81,2026-06-11T04:06:56,S04,session_05,side,normal,triceps,right,124.30161628820942,2.627510958821668,2.6406966681657593,7.212972834086591,0.7349810600280762,0.3674905300140381,0.3674905300140381,338.42281639084746,217.1633633541467,6780.591170056429,10.79124620698415,0.9450921170089556,incorrect,too_fast,tempo_terlalu_cepat
82,2026-06-11T04:07:08,S04,session_05,side,normal,triceps,left,123.72917637030451,2.48684720077901,3.99423983219689,11.369211088733078,0.6424651145935059,0.32123255729675293,0.32123255729675293,345.35870408279965,210.23634494380792,6056.235661291251,9.795136495784547,0.9496758715027854,incorrect,too_fast,tempo_terlalu_cepat
83,2026-06-11T04:07:13,S04,session_05,side,normal,triceps,left,123.12220729376374,4.437395023169634,2.830621502182583,14.350971770874226,0.7812955379486084,0.3906477689743042,0.3906477689743042,275.8383343231271,230.24830867699907,6356.173401988452,12.630834801157775,0.9583021917690834,incorrect,too_fast,tempo_terlalu_cepat
84,2026-06-11T04:07:18,S04,session_05,side,normal,triceps,left,119.64568367098664,1.241974118005995,2.62025885055853,6.268776337714222,0.8321208953857422,0.4160604476928711,0.4160604476928711,259.55052286259655,185.0264715920742,4181.235691707509,4.914720049486016,0.9641795576764987,incorrect,too_fast,tempo_terlalu_cepat
85,2026-06-11T04:07:22,S04,session_05,side,normal,triceps,left,119.03081694985426,2.7240268107490717,1.8377018789301314,6.51257246291824,0.8325185775756836,0.4162592887878418,0.4162592887878418,265.3238058746432,180.4111801710955,3438.475073793485,9.125568049795083,0.9564543478190899,incorrect,too_fast,tempo_terlalu_cepat
100,2026-06-11T04:22:09,S04,session_04,side,normal,triceps,left,58.68673158933821,0.6697803853452016,0.7635586332378688,2.631524278102966,1.6870925426483154,0.8435462713241577,0.8435462713241577,62.35129410139918,78.1539186443754,1329.9866956228573,2.6370116618414445,0.9850986970990312,incorrect,not_full_up,rom_tidak_penuh
101,2026-06-11T04:22:19,S04,session_04,side,normal,triceps,left,50.142769749848185,0.3075738466846665,0.9027624862710326,1.7749755877878217,1.4662466049194336,0.7331233024597168,0.7331233024597168,56.421376680254525,67.07174467955662,733.9628053814537,1.1442979858351858,0.9850093950827916,incorrect,not_full_up,rom_tidak_penuh
102,2026-06-11T04:22:27,S04,session_04,side,normal,triceps,left,49.95310031674672,0.7567587051323763,0.9424480967343383,3.1430622589731576,1.339564561843872,0.669782280921936,0.669782280921936,72.68002431584732,57.60319968822761,917.1171488083736,2.548737537579852,0.9826327031705437,incorrect,not_full_up,rom_tidak_penuh
103,2026-06-11T04:22:33,S04,session_04,side,normal,triceps,left,44.72748821114595,0.648099718730644,1.0064043694256615,3.3495644438636587,1.1677360534667969,0.5838680267333984,0.5838680267333984,71.70346922532869,69.15175776225233,1223.264096493785,2.448177200561781,0.9759964268240664,incorrect,not_full_up,rom_tidak_penuh
104,2026-06-11T04:22:39,S04,session_04,side,normal,triceps,left,60.60017440124913,0.6363677269645228,0.8381442258559991,2.614828788627028,1.4192533493041992,0.7096266746520996,0.7096266746520996,72.71931973889949,51.084310070475134,772.2148244471567,2.1432289546555845,0.9774354703204576,incorrect,not_full_up,rom_tidak_penuh
105,2026-06-11T04:22:47,S04,session_04,side,normal,triceps,right,45.03069027847426,0.7959737710213994,0.8987081858988064,2.7948009359901853,1.4704973697662354,0.7352486848831177,0.7352486848831177,57.29930223068124,49.42993494820198,850.1708414014925,2.34465173439588,0.9620813313457701,incorrect,not_full_up,rom_tidak_penuh
106,2026-06-11T04:22:53,S04,session_04,side,normal,triceps,right,49.13137585588546,2.3519436721048343,0.8835803034874246,8.323058615376336,1.2406630516052246,0.6203315258026123,0.6203315258026123,81.38587737733033,65.98202361991177,1110.2150500374157,8.063883020187745,0.9694439138357456,incorrect,not_full_up,rom_tidak_penuh
107,2026-06-11T04:23:00,S04,session_04,side,normal,triceps,right,54.49812425304807,1.3130382776187173,0.9713288617276634,5.627723379713075,1.2411293983459473,0.6205646991729736,0.6205646991729736,80.7929070930478,42.61366279698253,906.5426636189815,4.5303867060480645,0.9682033826646051,incorrect,not_full_up,rom_tidak_penuh
108,2026-06-11T04:23:05,S04,session_04,side,normal,triceps,right,51.34455895763789,0.8253828499546247,1.251874966217865,4.803330609249414,1.3816397190093994,0.6908198595046997,0.6908198595046997,68.93024865951833,51.292013135796395,1006.0699084332672,3.9394872257849456,0.9709293054682868,incorrect,not_full_up,rom_tidak_penuh
109,2026-06-11T04:23:13,S04,session_04,side,normal,triceps,right,62.82058171847983,2.031490903623178,0.8204960562034921,7.4272878286621555,1.2228517532348633,0.6114258766174316,0.6114258766174316,98.1689770203321,81.34000087890003,1377.7354917042373,6.587727531246143,0.9751795993463414,incorrect,not_full_up,rom_tidak_penuh
110,2026-06-11T08:38:19,S05,session_01,side,normal,biceps,right,69.94420777722196,3.839511483978444,4.348599941372152,15.554292059704164,3.8031702041625977,1.0694098472595215,2.733760356903076,57.050062110511675,76.02401637427539,1864.9966287944014,14.076420927643511,0.9123746037838005,correct,correct,good_form
